GL Account,Group
12001,others
12009,others
21051,others
21059,others
22021,others
22029,others
23001,others
23009,others
24001,others
24009,others
24011,others
24019,others
24031,others
24039,others
24041,others
24049,others
24051,others
24059,others
24061,others
24069,others
24211,others
24219,others
15021,others
1526100000,others
1526200000,others
1530001000,others
1530004300,others
1530005150,others
101000,others
101100,others
101200,others
102000,others
151580,others
101050,209-AR-Others
105000,209-AR-Others
111200,209-AR-Others
102400,others
102410,others
102420,others
141000,others
141100,others
141200,others
161020,others
162020,others
162120,others
161090,others
162090,others
133100,others
133120,others
133130,others
133400,others
133500,others
139000,others
139009,others
132010,others
132020,others
132030,others
166400,others
133106,others
133133,others
133503,others
151290,others
167150,others
166260,others
41000,400-Equity/General
43000,others
44030,others
44040,400-Equity/General
44060,400-Equity/General
56000,400-Equity/General
56260,others
0BSRESULT,others
213000,500-CA/EcoPeriod
213100,500-CA/EcoPeriod
213200,500-CA/EcoPeriod
213300,500-CA/EcoPeriod
213400,500-CA/EcoPeriod
213500,500-CA/EcoPeriod
108030,600-Tax direct
111058,600-Tax direct
151480,600-Tax direct
621001000,600-Tax direct
629501000,601-deferred Tax
629504200,601-deferred Tax
629601000,601-deferred Tax
629604200,601-deferred Tax
111000,620-Tax indirect
111001,620-Tax indirect
111030,620-Tax indirect
111350,620-Tax indirect
111370,620-Tax indirect
111480,620-Tax indirect
111490,620-Tax indirect
111500,620-Tax indirect
151030,620-Tax indirect
151045,620-Tax indirect
151046,620-Tax indirect
151047,620-Tax indirect
151200,620-Tax indirect
151420,620-Tax indirect
151510,620-Tax indirect
101400,others
141400,others
101410,others
101430,others
123020,others
63290,others
82100,others
151170,others
152010,others
63020,others
63040,others
63280,others
81020,others
81190,others
151180,721-Accruals/Audit
631501000,750-Prov./General
631501001,750-Prov./General
631501002,750-Prov./General
631501003,750-Prov./General
631501004,750-Prov./General
631501300,750-Prov./General
631501301,750-Prov./General
631504050,750-Prov./General
631701000,750-Prov./General
1010500000,others
1010900000,others
1410900000,others
1610900000,others
1664400000,others
1676900000,others
1010400000,810-SAP Re-Allocation
111270,810-SAP Re-Allocation
